75;Bacelli, Carlos A;Alvorada;Divaldo Pereira Franco em Uberaba;Biog. e entrevistas;3
76;Pinto, Fernando ;M. da Fé;Divaldo médium ou gênio;Biografia entr;2
77;Gama, Ramiro;Lake;Lindos casos de Chico Xavier;B. e Entrev;1
78;Monteiro, Eduardo C.;S.B.do Campo;Vida de Jesus Gonçalves;Biografia e entrevista;1
79;Gama, Ramiro;Lake;Lindos casos de Bezera de Menezes;B. e Entrev;2
80;Raniere, R. A.;Lake;Chico Xavier ;Biografia entr;2
81;Xavier, Francisco C.;Lake;Chico Xavier/ dos Hippies aos pais do mundo;Biografia entr;1
82;Jacinto, Roque;Cultura;Chico Xavier - 40 anos no mundo da mediunidade;Biografia entr;1
83;Xavier, Francisco C.;IDE;Entrevistas;Biografia entr;2
84;Barbosa, Elias;Dif. Espirita;No mundo de Chico Xavier;Biog. e entrevistas;4
85;Rosin, Zilda Giunchetti;Calvário;Morte e vida;Mensagem Familiar;1
86;Anjos, Rose dos;Ref. Editora;Reflexos da vida maior;Mensagem Familiar;1
87;Wynn, Walter;O Clarim;Meu filho vive no além;Mensagem Familiar;1
88;Xavier, Francisco C.;IDE;Quem são?;Mensagem Familiar;1
89;Xavier, Francisco C.;IDE;Notícias do além;Mensagem Familiar;1
90;Formiga, Eurícledes;Inst. Dif. Espirita;Motoqueiros no além;Mensagem Familiar;3
91;Xavier, Francisco C.;IDE;Presença de Laurindo;Mensagem Familiar;1
92;Xavier, Francisco C.;IDE;Comando do amor;Mensagem Familiar;2
93;Xavier, Francisco C.;IDE;Retornaram contando;Mensagem Familiar;1
94;Xavier, Francisco C.;IDE;Reencontros;Mensagem Familiar;2
95;Xavier, Francisco C.;IDE;Venceram;Mensagem Familiar;1
96;Rosin, Zilda Giunchetti;Calvário;Perdas de entes queridos;Mensagem Familiar;2
97;Xavier, Francisco C.;IDE;Porto de alegria;Dissertação;1
98;Xavier, Francisco C.;GEEM;Jovens no além;Mensagem Familiar;1
99;Xavier, Francisco C.;IDE;Eles voltaram;Mensagem Familiar;1
100;Xavier, Francisco C.;IDE;Claramente vivos;Mensagem Familiar;1
101;Xavier, Francisco C.;IDE;Vitória;Mensagem Familiar;2
102;Xavier, Francisco C.;Ed. Andre Luiz;Amor e luz;Mensagem Familiar;2
103;Xavier, Francisco C.;IDE;Antenas de luz;Mensagem Familiar;2
104;Xavier, Francisco C.;IDE;Brilhe a vossa luz;Meditação;3
105;Gentile, Salvador;Inst. Dif. Esp;Escola da vida;Poesia e trova;1
106;Xavier, Francisco C.;Ed. Andre Luiz;Aulas de vida ;Meditação;1
107;Xavier, Francisco C.;IDE;Ponte de paz;Meditação;1
108;Xavier, Francisco C.;IDE;Coragem;Meditação;1
109;Alves, Nércio Antonio;Lenico;Sempre Dócil;Meditação;1
110;Espíritos diversos;Progresso;Noticias do Cristo;Meditação;1
111;Vieira, Waldo;FEB;Conduta espirita;Meditação;3
112;Xavier, Francisco C.;FEB;Agenda cristã;Dissertação;2
113;Xavier, Francisco C.;IDE;Viajor;Meditação;1
114;Franco, Divaldo Pereira;Liv. Esp. Alvorada;Viver e amar;Meditação;1
115;Xavier, Francisco C.;FEB;Luz acima;Contos e Crônicas;1
116;Rodrigues, Henrique;Lar ABC;Contos que a vida conta;Contos e Crônicas;1
117;Bacelar, Dolores;S.B. do Campos;A sombra do olmeiro (um jardineiro);Contos e Crônicas;1
118;Xavier, Francisco C.;FEB;Crônicas do além túmulo;Contos e Crônicas;2
119;Amigo, José;Fed Esp brasileira;Roma e o evangelho;Filosófico;1
120;Denis, Leon;O Clarim;Socialismo e espiritismo;Filosófico;1
121;Aguard, Angel ;Fed Esp brasileira;Grandes e pequenos problemas;Filosófico;2
122;Denis, Leon;Fed Esp brasileira;O problema do ser do destino e da dor;Mediunidade;3
123;Jacinto, Roque;Edicel;Celeiros de luz;Filosofia;1
124;Alves, Nércio Antonio;Lenico;Algemados;Filosófico;1
125;Maes, Hercílio; Freitas Bastos;Mediunismo;Filosofia;2
126;Xavier, Francisco C.;FEB;Brasil/ Coração do mundo pátria do evangelho;Filosofia;3
127;Teixeira, Edith;Tatui;Como conhecer Deus;Filosofia;1
128;Franco, Divaldo Pereira;Liv. Esp. Alvorada;Messe de amor;Dissertação;2
129;Franco, Divaldo Pereira;Alvorada;Momentos de decisão;Dissertação;3
130;Martins, Celso;A.B.C.;Ponto de encontro;Dissertação;1
131;Mota, Eliseru F. Júnior;O Clarim;Pena de morte e crimes Hediondos;Dissertação;2
132;Simonetti, Richard;FEB;Para viver a grande mensagem;Dissertação;2
133;Peralva, Martins ;UEM;Mensageiro do bem;Dissertação;1
134;Franco, Divaldo Pereira;Capemi;Enfoques espíritas;Dissertação;1
135;Franco, Divaldo Pereira;Alvorada;Terapêutica de emergencia;Dissertação;2
136;Franco, Divaldo Pereira;Alvorada;Seara do bem;Cientifico;1
137;Amorin, Deolindo;Celd.;O espiritismo e as doutrinas Espiritualistas;Dissertação;1
138;Xavier, Francisco C.;FEB;Cura;Dissertação;1
139;Franco, Divaldo Pereira;;Florações evangélicas;Dissertação;1
140;Soler, Amalia Domigos;IDE;Reencarnação e vida ;Dissertação;1
